state_po,district,incumbent,incumbent_party,status_text,dem_candidate,rep_candidate,other_candidates,n_dem,n_rep,incumbent_running,paired_incumbents,harris24,trump24,total24,biden20,trump20,total20,pres24_margin,pres20_margin,lines_changed,race_type,race_note
AZ,8,Abraham Hamadeh,R,Incumbent renominated,Bernadette Greene-Placentia,Abraham Hamadeh,,1,1,True,1,162183,226186,392023,171266.0,225761.0,402630.0,-16.479945618728582,-13.72576676145451,False,standard,
AZ,9,Paul Gosar,R,Incumbent renominated,Dani Sterbinsky,Paul Gosar,,1,1,True,1,137012,262106,402472,132165.0,225719.0,363126.0,-31.342610456055603,-26.14087246146796,False,standard,
CA,1,James Gallagher,R,Incumbent advanced to general,Mike McGuire,James Gallagher,,1,1,True,1,186337,144548,341947,,,,12.629463408737175,,True,standard,
CA,2,Jared Huffman,D,Incumbent advanced to general,Jared Huffman,Robin Littau,,1,1,True,1,236586,140619,389445,,,,25.44160337217163,,True,standard,
CA,3,Ami Bera,D,Incumbent advanced to general,Ami Bera,Robb Tucker,,1,1,True,1,195618,158363,366674,,,,10.524576177817453,,True,standard,
CA,4,Mike Thompson,D,Incumbent advanced to general. Democratic hold.,Eric Jones; Mike Thompson,,,2,0,True,1,191846,141949,344131,,,,14.94839647088782,,True,same_party,D
CA,5,Tom McClintock,R,Incumbent advanced to general,Michael Masuda,Tom McClintock,,1,1,True,1,139318,214442,362880,,,,-21.235866123925824,,True,standard,
CA,6,Kevin Kiley,,Incumbent advanced to general,Richard Pan,,Kevin Kiley (Independent),1,0,False,1,176946,148674,336566,,,,8.682513359130274,,True,independent,Kevin Kiley
CA,7,Doris Matsui,D,Incumbent advanced to general. Democratic hold.,Doris Matsui; Mai Vang,,,2,0,True,1,189995,145560,346796,,,,13.242240467285542,,True,same_party,D
CA,8,John Garamendi,D,Incumbent advanced to general,John Garamendi,Rudy Recile,,1,1,True,1,204669,98182,312678,,,,35.16151506846601,,True,standard,
CA,9,Josh Harder,D,Incumbent advanced to general,Josh Harder,John McBride,,1,1,True,1,145369,114699,268495,,,,11.79306950489872,,True,standard,
CA,10,Mark DeSaulnier,D,Incumbent advanced to general,Mark DeSaulnier,Jeff Frese,,1,1,True,1,246231,119354,378177,,,,34.70519851744464,,True,standard,
CA,11,Nancy Pelosi,,Incumbent retiring. Democratic hold.,Connie Chan; Scott Wiener,,,2,0,False,1,295463,50870,361182,,,,70.62364833844883,,True,same_party,D
CA,12,Lateefah Simon,D,Incumbent advanced to general Democratic hold.,Jamie Joyce; Lateefah Simon,,,2,0,True,1,269144,33875,318388,,,,77.64166603414307,,True,same_party,D
CA,13,Adam Gray,D,Incumbent advanced to general,Adam Gray,Kevin Lincoln,,1,1,True,1,101906,101125,208792,,,,0.38467032128098666,,True,standard,
CA,14,Aisha Wahab,D,Incumbent advanced to general. Democratic hold.,Melissa Hernandez; Aisha Wahab,,,2,0,True,1,186745,87471,285569,,,,36.20284739037839,,True,same_party,D
CA,15,Kevin Mullin,D,Incumbent advanced to general,Kevin Mullin,Charles Hoelter,,1,1,True,1,220603,74250,305590,,,,49.63592027213561,,True,standard,
CA,16,Sam Liccardo,D,Incumbent advanced to general,Sam Liccardo,Peter Soulé,,1,1,True,1,246022,82261,340419,,,,49.88409390678165,,True,standard,
CA,17,Ro Khanna,D,Incumbent advanced to general,Ro Khanna,Ritesh Tandon,,1,1,True,1,177917,74911,264340,,,,40.74153179236477,,True,standard,
CA,18,Zoe Lofgren,D,Incumbent advanced to general,Zoe Lofgren,Shane Lewis,,1,1,True,1,148835,81258,237523,,,,29.36942888310379,,True,standard,
CA,19,Jimmy Panetta,D,Incumbent advanced to general,Jimmy Panetta,Peter Coe Verbica,,1,1,True,1,246254,116802,376248,,,,35.65620730686175,,True,standard,
CA,20,Vince Fong,R,Incumbent advanced to general,Sandra Van Scotter,Vince Fong,,1,1,True,1,103310,204962,315411,,,,-32.974775522914825,,True,standard,
CA,21,Jim Costa,D,Incumbent advanced to general,Jim Costa,Kyle Kirkland,,1,1,True,1,104289,92237,201925,,,,6.132521905498509,,True,standard,
CA,22,David Valadao,R,Incumbent advanced to general,Randy Villegas,David Valadao,,1,1,True,1,81817,84994,171356,,,,-1.904550659129194,,True,standard,
CA,23,Jay Obernolte,R,Incumbent advanced to general,Tessa Lynn Hodge,Jay Obernolte,,1,1,True,1,108128,161911,277288,,,,-19.916752765341304,,True,standard,
CA,24,Salud Carbajal,D,Incumbent advanced to general,Salud Carbajal,Bob Smith,,1,1,True,1,214293,126559,351804,,,,25.739617194559514,,True,standard,
CA,25,Raul Ruiz,D,Incumbent advanced to general,Raul Ruiz,Joe Males,,1,1,True,1,140058,124338,270412,,,,5.945627014024418,,True,standard,
CA,26,Julia Brownley,,Incumbent retiring,Jacqui Irwin,Sam Gallucci,,1,1,False,1,193294,140781,343771,,,,15.718925391005014,,True,standard,
CA,27,George T. Whitesides,,Incumbent advanced to general,George Whitesides,Jason Gibbs,,1,1,False,1,158101,129273,296345,,,,10.031526860467544,,True,standard,
CA,28,Judy Chu,D,Incumbent advanced to general,Judy Chu,April Verlato,,1,1,True,1,199379,116724,326913,,,,26.1481226056064,,True,standard,
CA,29,Luz Rivas,D,Incumbent advanced to general. Democratic hold.,Angelica Dueñas; Luz Rivas,,,2,0,True,1,156025,75625,239016,,,,34.707532916037124,,True,same_party,D
CA,30,Laura Friedman,D,Incumbent advanced to general,Laura Friedman,Scott Meyers,,1,1,True,1,233119,96524,341310,,,,41.437251814842114,,True,standard,
CA,31,Gil Cisneros,D,Incumbent advanced to general,Gil Cisneros,Eric Ching,,1,1,True,1,159494,123786,292043,,,,12.60519627223948,,True,standard,
CA,32,Brad Sherman,D,Incumbent advanced to general,Brad Sherman,Larry Thompson,,1,1,True,1,219603,129673,359755,,,,25.747546353027406,,True,standard,
CA,33,Pete Aguilar,D,Incumbent advanced to general,Pete Aguilar,Stephanie Vargas,,1,1,True,1,132891,108565,248705,,,,10.074713405340932,,True,standard,
CA,34,Jimmy Gomez,D,Incumbent advanced to general. Democratic hold.,Jimmy Gomez; Angela Gonzales-Torres,,,2,0,True,1,156729,48090,214525,,,,53.04146587963031,,True,same_party,D
CA,35,Norma Torres,D,Incumbent advanced to general,Norma Torres,Mike Cargile,,1,1,True,1,136179,115899,259995,,,,8.045128888677315,,True,standard,
CA,36,Ted Lieu,D,Incumbent advanced to general,Ted Lieu,Houston Brignano,,1,1,True,1,261912,111107,385621,,,,40.42823555904659,,True,standard,
CA,37,Sydney Kamlager-Dove,D,Incumbent advanced to general. Democratic hold.,Sydney Kamlager-Dove; Samantha Mota,,,2,0,True,1,184950,42949,235124,,,,62.30874203046086,,True,same_party,D
CA,38,None (new seat),,New representative to be elected,Hilda Solis,Pedro Casas,,1,1,False,1,142634,110393,261716,,,,12.742118430048967,,True,standard,
CA,39,Mark Takano,D,Incumbent advanced to general,Mark Takano,Steve Manos,,1,1,True,1,125382,103042,235647,,,,9.780058137498687,,True,standard,
CA,40,Young Kim,R,Incumbent advanced to general. Republican hold.,,Ken Calvert; Young Kim,,0,2,True,2,161640,208262,381211,,,,-12.603878865212948,,True,same_party,R
CA,41,Linda Sánchez,D,Incumbent advanced to general,Linda Sánchez,Mitch Clemmons,,1,1,True,1,172854,128694,311081,,,,14.644434716860998,,True,standard,
CA,42,Robert Garcia,D,Incumbent advanced to general,Robert Garcia,Brian Burley,,1,1,True,1,192323,146391,349703,,,,13.56070313007434,,True,standard,
CA,43,Maxine Waters,D,Incumbent advanced to general,Maxine Waters,Cristian Morales,,1,1,True,1,162845,53434,223448,,,,50.587898039106896,,True,standard,
CA,44,Nanette Barragán,D,Incumbent advanced to general,Nanette Barragán,Genevieve Angel,,1,1,True,1,145093,67784,219843,,,,36.31627653527624,,True,standard,
CA,45,Derek Tran,D,Incumbent advanced to general,Derek Tran,Chuong Vo,,1,1,True,1,151772,139943,300410,,,,4.054985173885471,,True,standard,
CA,46,Lou Correa,D,Incumbent advanced to general,Lou Correa,David Pan,,1,1,True,1,128647,91851,227640,,,,16.687679706845415,,True,standard,
CA,47,Dave Min,D,Incumbent advanced to general,Dave Min,Jenny Le Roux,,1,1,True,1,190293,154229,357880,,,,10.467836596792077,,True,standard,
CA,48,Darrell Issa,,Incumbent retiring,Marni von Wilpert,Jim Desmond,,1,1,False,1,165733,154575,328887,,,,3.483522109969155,,True,standard,
CA,49,Mike Levin,D,Incumbent advanced to general,Mike Levin,Armen Kurdian,,1,1,True,1,211077,164262,386796,,,,12.472724656910152,,True,standard,
CA,50,Scott Peters,D,Incumbent advanced to general,Scott Peters,Steve Cohen,,1,1,True,1,214644,146603,372726,,,,18.835035308251694,,True,standard,
CA,51,Sara Jacobs,D,Incumbent advanced to general,Sara Jacobs,Ricardo Cabrera,,1,1,True,1,205156,140215,355711,,,,18.80325794580321,,True,standard,
CA,52,Juan Vargas,D,Incumbent advanced to general,Juan Vargas,Jeff Belle,,1,1,True,1,156713,108809,272674,,,,18.041442893620868,,True,standard,
CO,1,Diana DeGette,,Incumbent lost renomination,Melat Kiros,Christy Peterson,Shimon Blau (Independent); Chad Humphrey (Libertarian); Critter Milton (Unity),1,1,False,1,280661,75479,365908,315904.0,72379.0,397310.0,57.612736564272474,62.71842959902958,False,standard,
CO,2,Joe Neguse,D,Incumbent renominated,Joe Neguse,Kelley Dennison,Gaylon Kent (Libertarian),1,1,True,1,295692,123973,431634,306400.0,128491.0,446260.0,40.91811325700261,40.9088714183554,False,standard,
CO,3,Jeff Hurd,R,Incumbent renominated,Dwayne Romero,Jeff Hurd,Clifton Brown (Independent); Cory Robertson (Libertarian),1,1,True,1,178501,218065,406672,184181.0,218187.0,412128.0,-9.976649536268868,-8.451467313504056,False,standard,
CO,4,Lauren Boebert,R,Incumbent renominated,Eileen Laubacher,Lauren Boebert,Douglas Mangeris (Libertarian); Tim Veldhuizen (Independent),1,1,True,1,182901,267114,461367,174553.0,256585.0,442183.0,-18.71337622079264,-19.02685451062073,False,standard,
CO,5,Jeff Crank,R,Incumbent renominated,Jessica Killin,Jeff Crank,Mark Elworth (Libertarian); Christopher Mitchell (Constitution),1,1,True,1,165522,199615,375301,160880.0,198614.0,373408.0,-9.337043356329268,-10.496419968066226,False,standard,
CO,6,Jason Crow,D,Incumbent renominated,Jason Crow,Jason Clark,Patty McMahon (Libertarian); Meredith Ryan (Unity); Samir Ezzeldin Witta (Independent),1,1,True,1,210533,139305,360149,232517.0,141195.0,383771.0,20.360281044369106,24.436464443207605,False,standard,
CO,7,Brittany Pettersen,D,Incumbent renominated,Brittany Pettersen,Tim Bennett,Lawrence Clark (Constitution); Susan Hall (Unity); Joe Krzeczkowski (Independent); Dan Sallis (Libertarian),1,1,True,1,249924,183164,445524,256166.0,190987.0,459940.0,15.41488104034284,14.576442515201732,False,standard,
CO,8,Gabe Evans,R,Incumbent renominated,Manny Rutinel,Gabe Evans,Dan Wood (Libertarian),1,1,True,1,164425,170726,344318,173751.0,158170.0,341951.0,-1.8800480977231158,4.694189279979272,False,standard,
CT,1,John B. Larson,,Incumbent lost renomination,Luke Bronin,Amy Chai,,1,1,False,1,208405,129726,343851,227830.0,126759.0,359895.0,23.26879227281734,28.503704288627116,False,standard,
CT,2,Joe Courtney,D,Incumbent renominated,Joe Courtney,George Austin,,1,1,True,1,205994,175984,388477,214158.0,169366.0,391348.0,7.856473409463372,11.679060502080704,False,standard,
CT,3,Rosa DeLauro,D,Incumbent renominated,Rosa DeLauro,Chris Lancia,,1,1,True,1,191831,143737,342110,213122.0,142174.0,359820.0,14.332117484384685,19.968702152571378,False,standard,
CT,4,Jim Himes,D,Incumbent renominated,Jim Himes,Michael Goldstein,,1,1,True,1,206080,127034,338387,230411.0,120230.0,355456.0,23.729413954381982,31.42273721555665,False,standard,
CT,5,Jahana Hayes,D,Incumbent renominated,Jahana Hayes,Chris Shea,,1,1,True,1,179743,160437,345604,195160.0,156762.0,357217.0,5.675230760185784,10.910940492495497,False,standard,
DE,0,Sarah McBride,D,Incumbent renominated,Sarah McBride,Joseph Arminio,,1,1,True,1,289758,214351,511697,296268.0,200603.0,504010.0,14.958471282996337,19.253488329968945,False,standard,
FL,1,Jimmy Patronis,R,Incumbent renominated,Gay Valimont,Jimmy Patronis,Tyler Davis (Independent),1,1,True,1,130210,287054,421568,,,,-37.5886728785613,,True,standard,
FL,2,Neal Dunn,,Incumbent retiring,Amanda Green,Austin Rogers,,1,1,False,1,166158,239978,410127,,,,-18.176177438099554,,True,standard,
FL,3,Kat Cammack,R,Incumbent renominated,Seth Harp,Kat Cammack,Mike Klein (Independent),1,1,True,1,155748,240137,399639,,,,-21.31654394584286,,True,standard,
FL,4,Aaron Bean,R,Incumbent renominated,LaShonda Holloway,Aaron Bean,Todd Schaefer (Independent); Mike Sell (Florida Forward),1,1,True,1,173072,220106,397132,,,,-11.962520792109427,,True,standard,
FL,5,John Rutherford,R,Incumbent renominated,Rachel Grage,John Rutherford,,1,1,True,1,168926,262439,436333,,,,-21.67839300824128,,True,standard,
FL,6,Randy Fine,R,Incumbent renominated,Eric Yonce,Randy Fine,Michael Gist (Independent); Andrew Parrott (Libertarian),1,1,True,1,152754,285616,441578,,,,-30.308187147843146,,True,standard,
FL,7,Cory Mills,,Incumbent lost renomination,Bale Dalton,Ryan Elijah,Christopher Dennison (Libertarian),1,1,False,1,184389,237638,426813,,,,-12.617439168584001,,True,standard,
FL,8,Mike Haridopolos,R,Incumbent renominated,Jennifer Jenkins,Mike Haridopolos,,1,1,True,1,177979,247784,430519,,,,-16.395271547785974,,True,standard,
FL,9,Darren Soto,D,Incumbent renominated,Darren Soto,Dan Green,,1,1,True,1,152204,218731,374281,,,,-17.93494817151253,,True,standard,
FL,10,Maxwell Frost,D,Incumbent re-elected,Maxwell Frost,,,1,0,True,1,183316,111658,298720,,,,24.292988534582708,,True,same_party,D
FL,11,Daniel Webster,,Incumbent retiring,James Pericola,Joe Strada,Ralph Groves (Libertarian),1,1,False,1,187154,257599,449051,,,,-15.8391286849105,,True,standard,
FL,12,Gus Bilirakis,R,Incumbent renominated,Kimberly Overman,Gus Bilirakis,Branden Scrivener (Independent),1,1,True,1,159991,218927,382929,,,,-15.553760972030888,,True,standard,
FL,13,Anna Paulina Luna,R,Incumbent renominated,Leela Gray,Anna Paulina Luna,Tony D'Arrigo (Independent),1,1,True,1,174640,228933,407551,,,,-13.453080359687094,,True,standard,
FL,14,Kathy Castor,D,Incumbent renominated,Kathy Castor,Mike Beltran,Brian Lambert (Libertarian),1,1,True,1,171479,212233,387748,,,,-10.62098657326328,,True,standard,
FL,15,Laurel Lee,R,Incumbent renominated,Robert People,Laurel Lee,,1,1,True,1,157389,236552,398740,,,,-20.095141150578385,,True,standard,
FL,16,Vern Buchanan,,Incumbent retiring,Kelly Kirschner,Sydney Gruters,Mark Davis (Independent),1,1,False,1,184331,243409,431341,,,,-13.811661289568429,,True,standard,
FL,17,Greg Steube,R,Incumbent renominated,Matthew Montavon,Greg Steube,Michael Quirk (Independent),1,1,True,1,174418,274197,451668,,,,-22.24156570778953,,True,standard,
FL,18,Scott Franklin,R,Incumbent renominated,Curtis Gibson,Scott Franklin,Deva Simmons (Independent),1,1,True,1,152345,215207,370821,,,,-17.102886122235766,,True,standard,
FL,19,Byron Donalds,,Incumbent retiring to run for governor,Victor Arias,Jim Schwartzel,Seth Haskin (Independent),1,1,False,1,145965,273572,422283,,,,-30.416149231176274,,True,standard,
FL,20,Debbie Wasserman Schultz,D,"Rep. Sheila Cherfilus-McCormick (D) resigned April 21, 2026. Democratic loss.",Debbie Wasserman Schultz,Brent Andersen,Kedner Maxime (Independent Party of Florida),1,1,True,2,221091,100494,324521,,,,37.50081626941555,,True,standard,
FL,21,Brian Mast,R,Incumbent renominated,James Martin,Brian Mast,Alexander Cooke (Independent),1,1,True,1,186001,259006,448209,,,,-16.40535991568672,,True,standard,
FL,22,None (new seat),,New representative to be elected,Pia Dandiya,Casey Askar,,1,1,False,1,173837,214070,391475,,,,-10.371815924951084,,True,standard,
FL,23,Lois Frankel,D,Incumbent renominated,Lois Frankel,Deborah Adeimy,,1,1,True,1,190174,143874,337102,,,,13.860283552064374,,True,standard,
FL,24,Frederica Wilson,,Incumbent retiring,Oliver Gilbert,Te Mayonna Brown,,1,1,False,1,191546,83962,277976,,,,39.04931980196582,,True,standard,
FL,25,Jared Moskowitz,D,Incumbent renominated,Jared Moskowitz,Scott Singer,Peter Jassenoff (Libertarian),1,1,True,1,169440,203850,376289,,,,-9.218034236116692,,True,standard,
FL,26,Mario Díaz-Balart,R,Incumbent renominated,Nicole Locklin,Mario Díaz-Balart,Deborah Ann Meidinger Hosey (Independent),1,1,True,1,131758,191736,326115,,,,-18.540683907584068,,True,standard,
FL,27,María Elvira Salazar,R,Incumbent renominated,Eliott Rodriguez,María Elvira Salazar,,1,1,True,1,142685,191853,337184,,,,-14.697284015567739,,True,standard,
FL,28,Carlos A. Giménez,,Incumbent renominated,Phil Ehr,Carlos Giménez,Eddy Rojas (Independent),1,1,False,1,124039,209509,335833,,,,-25.62449782340173,,True,standard,
GA,1,Buddy Carter,,Incumbent retiring to run for U.S. Senate,Amanda Hollowell,Jim Kingston,,1,1,False,1,152070,209540,363589,144314.0,189725.0,338574.0,-15.892812698763862,-13.594520400312538,False,standard,
GA,2,Sanford Bishop,D,Incumbent renominated,Sanford Bishop,Matt Day,,1,1,True,1,169577,145474,316317,173621.0,140787.0,317280.0,7.650507378170518,10.443118495712577,False,standard,
GA,3,Brian Jack,R,Incumbent renominated,Maura Keller,Brian Jack,,1,1,True,1,145886,270196,418554,132438.0,248375.0,385533.0,-29.876322455669797,-30.44460141854401,False,standard,
GA,4,Hank Johnson,D,Incumbent renominated,Hank Johnson,James Duffie,,1,1,True,1,234429,71937,309663,248593.0,65346.0,317482.0,53.03852255145806,58.37025664221393,False,standard,
GA,5,Nikema Williams,D,Incumbent renominated,Nikema Williams,John Oscar Salvesen,,1,1,True,1,299983,48165,351733,298038.0,45300.0,347583.0,72.33073290669485,73.61200915715709,False,standard,
GA,6,Lucy McBath,D,Incumbent renominated,Lucy McBath,Kevin Martin,,1,1,True,1,280411,92612,376079,272649.0,90780.0,367715.0,50.345152979843064,50.04251174232106,False,standard,
GA,7,Rich McCormick,R,Incumbent renominated,Tony Kozycki,Rich McCormick,,1,1,True,1,166264,261716,432786,160882.0,240034.0,406792.0,-22.30291135099771,-19.742789013159864,False,standard,
GA,8,Austin Scott,R,Incumbent renominated,Kelly Esti,Austin Scott,,1,1,True,1,119340,225184,345955,117889.0,209159.0,330441.0,-30.72180747930478,-27.907218512267313,False,standard,
GA,9,Andrew Clyde,R,Incumbent renominated,Caitlyn Gegen,Andrew Clyde,,1,1,True,1,130776,267538,401323,121352.0,239320.0,365489.0,-34.33522296479662,-32.70783426492769,False,standard,
GA,10,Mike Collins,,Incumbent retiring to run for U.S. Senate,Pam Delancy,Houston Gaines,,1,1,False,1,162887,249036,414479,146057.0,226098.0,376859.0,-20.913860114633074,-21.50743641762169,False,standard,
GA,11,Barry Loudermilk,,Incumbent retiring,Chris Harden,John Cowan,,1,1,False,1,159023,257070,420016,149016.0,234589.0,390136.0,-23.563722533183686,-22.307582017961185,False,standard,
GA,12,Rick Allen,R,Incumbent renominated,Ceretta Smith,Rick Allen,,1,1,True,1,149015,198465,349195,151146.0,185743.0,340948.0,-14.231034879705307,-10.269554660437118,False,standard,
GA,13,Everton Blair,,Blair lost the initial nomination for the full term; later elected to complete David Scott's unexpired term.,Jasmine Clark,Jonathan Chavez,,1,1,False,1,257537,103350,364212,248807.0,104096.0,356696.0,42.724453914937364,41.005885469945,False,standard,
GA,14,Clay Fuller,R,Incumbent renominated,Shawn Harris,Clay Fuller,Andrew Underwood (Libertarian),1,1,True,1,120819,262833,386145,108830.0,242501.0,356187.0,-37.01635857495856,-38.047026877787616,False,standard,
HI,1,Ed Case,D,Incumbent renominated,Ed Case,Adriel Lam,Nathan Berning (Independent); Jordan Conley (Green),1,1,True,1,153039,91498,248840,178660.0,96350.0,279670.0,25.166334746889017,29.929820733791498,False,standard,
HI,2,Jill Tokuda,D,Incumbent renominated,Jill Tokuda,Brenton Awa,Edward Codelia (Independent); Randall Terry (Independent),1,1,True,1,160005,102163,267861,187470.0,100514.0,294799.0,22.062952000244117,30.194733040724486,False,standard,
IA,1,Mariannette Miller-Meeks,R,Incumbent renominated,Christina Bohannan,Mariannette Miller-Meeks,Michael Bridgford (Independent),1,1,True,1,190502,226309,422996,203400.0,215742.0,426927.0,-8.590704180072024,-2.94458679874601,False,standard,
IA,2,Ashley Hinson,,Incumbent retiring to run for U.S. Senate,Lindsay James,Joe Mitchell,Dave Bushaw (Independent); Rick Stewart (Libertarian),1,1,False,1,186017,227941,419694,203246.0,222312.0,433378.0,-10.127597485735269,-4.480235361572336,False,standard,
IA,3,Zach Nunn,R,Incumbent renominated,Sarah Trone Garriott,Zach Nunn,,1,1,True,1,199043,217645,422161,205591.0,207043.0,420101.0,-4.464251430326767,-0.35188569046661206,False,standard,
IA,4,Randy Feenstra,,Incumbent retiring to run for governor,David Dawson,Chris McGowan,,1,1,False,1,131716,255124,391998,146824.0,252575.0,406128.0,-31.901561369041463,-26.477532492570088,False,standard,
ID,1,Russ Fulcher,R,Incumbent renominated,Kaylee Peterson,Russ Fulcher,Brendan Gomez (Constitution); Sarah Zabel (Independent),1,1,True,1,126556,343893,482249,132085.0,302868.0,447457.0,-46.19778126853283,-39.26470216322223,False,standard,
ID,2,Mike Simpson,R,Incumbent renominated,Ellie Gilbreath,Mike Simpson,Emre Houser (Independent); Tripp Hutchinson (Independent); Will Johanson (Libertarian),1,1,True,1,148416,261353,422563,154936.0,251251.0,419904.0,-27.561138104639443,-23.711984873961992,False,standard,
IL,1,Jonathan Jackson,D,Incumbent renominated,Jonathan Jackson,Christian Maxwell,,1,1,True,1,214180,109215,327524,260631.0,103984.0,369753.0,32.45721176888944,42.962302702850955,False,standard,
IL,2,Robin Kelly,,Incumbent retiring to run for U.S. Senate,Donna Miller,Michael Noack,,1,1,False,1,196188,97557,297831,231924.0,98000.0,334668.0,33.57708216310065,40.592378850886874,False,standard,
IL,3,Delia Ramirez,D,Incumbent renominated,Delia Ramirez,Angel Oakley,,1,1,True,1,172024,88947,264637,207342.0,84147.0,297395.0,31.83380528871024,42.264030546607245,False,standard,
IL,4,Chuy García,,Incumbent retiring,Patty Garcia,Lupe Castillo,Chris Getty (Independent); Ed Hershey (Working Class),1,1,False,1,133997,74150,211284,175301.0,62731.0,242543.0,28.752276035686318,47.29196074477381,False,standard,
IL,5,Mike Quigley,D,Incumbent renominated,Mike Quigley,Tommy Hanson,,1,1,True,1,254128,115335,373934,275679.0,117237.0,400256.0,37.56614329445709,40.32464954341386,False,standard,
IL,6,Sean Casten,D,Incumbent renominated,Sean Casten,Niki Conforti,,1,1,True,1,190484,170365,366334,216368.0,173185.0,396914.0,5.575462312490821,11.085269526867974,False,standard,
IL,7,Danny Davis,,Incumbent retiring,La Shawn Ford,Chad Koppie,,1,1,False,1,227588,46357,277166,274896.0,41082.0,321060.0,66.15598021500666,73.99692383646963,False,standard,
IL,8,Raja Krishnamoorthi,,Incumbent retiring to run for U.S. Senate,Melissa Bean,Jennifer Davis,,1,1,False,1,162610,141333,307970,189430.0,138017.0,333628.0,7.000325718967043,15.70116690640012,False,standard,
IL,9,Jan Schakowsky,,Incumbent retiring,Daniel Biss,John Elleson,,1,1,False,1,234534,107886,346306,267524.0,108596.0,382482.0,36.986157350622044,42.25459959587366,False,standard,
IL,10,Brad Schneider,D,Incumbent renominated,Brad Schneider,Carl Lambrecht,,1,1,True,1,198884,126235,329534,220357.0,128416.0,355522.0,22.345356623267172,26.361272231508746,False,standard,
